PIN;PIN10;Realid;Owner;Owner2;OwnerAdd1;OwnerAdd2;OwnerAdd3;Location;CalcAcreage;DeedAcres;StreetNumber;StreetMisc;StreetPrefix;StreetName;StreetType;StreetSuffix;LandClass;Lclass;TotalStructures;TotalUnits;PropertyDesc;LotNum;BldgValue;LandValue;LandSaleValue;LandSaleDate;TotalSaleValue;TotalSaleDate;DeedBook;DeedPage;WC_City;Cary_City;WC_Etj;Topography;Township;Ownership;Activity;Function;Structure;Site;WC_Zoning;BillingClass;APAOwnershipDesc;APAActivityDesc;APAFunctionDesc;APAStructureDesc;APASiteDesc;County;TotalBldgSqFt;Typeanduse;Typedecode;PhyCity;PhyZip;Utilities;OwnerWholeName;Real Estate Info;Deed Info;Year Built;Shape.STArea();Shape.STLength();geo_shape;geo_point_2d
075517202206;0755202206;0157596;KARRAS, WILLIAM J;;1609 LILY CREEK DR;CARY NC 27518-5332;;1030 MORRISVILLE PKWY;1.26287387;1.27;1030;;;MORRISVILLE;PKWY;;Commercial;C;1;0;LO15 HUNTINGTON COMMERCIAL PK BM1994 -1956;15;502950.0;121871.0;0.0;;0.0;;16-E;3569;MOR;;MO;;Ce;1010.0;3120.0;3600.0;2732.0;6200.0;IM;;Individual Ownership;Primarily Goods Storage Or Handling Activities;Warehouse And Storage Services;Prefabricated Warehouse;Commercial Property;Wake;9720.0;82;PREFAB;MORRISVILLE;27560;ALL;WILLIAM J KARRAS;http://services.wakegov.com/realestate/Account.asp?id=0157596;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=16-E-3569;;55010.767578125;1005.545232605795;"{""type"": ""Polygon"", ""coordinates"": [[[-78.82364941283902, 35.811182223948414], [-78.8238570540941, 35.810985657168224], [-78.82395420590035, 35.811053748348826], [-78.82414066186396, 35.81087723584259], [-78.8241926617654, 35.810910379075764], [-78.82423724335743, 35.81093743388048], [-78.82429407207242, 35.810970182037714], [-78.82436350073496, 35.811007692958746], [-78.82442888383515, 35.81104065257527], [-78.82449418435263, 35.81107140917267], [-78.82391200634608, 35.8118033057446], [-78.82334791787986, 35.81147106560645], [-78.82364941283902, 35.811182223948414]]]}";35.8113267765,-78.8239305212
074218401943;0742401943;0007123;BRIAN HAMILTON PEAK PROPERTIES II L;;4011 WESTCHASE BLVD STE 250;RALEIGH NC 27607-3983;;100 N SALEM ST;0.14976824999999902;0.14999999999999902;100;;N;SALEM;ST;;Commercial;C;1;0;LO1 PROPERTY OF J W SEAGROVES JR BM2007 -01889;1;821417.0;130353.0;0.0;;1600000.0;2018-08-26T22:00:00-04:00;017374;01185;APE;;AP;;Wh;1020.0;2100.0;2100.0;2200.0;6200.0;B2;;Corporation;Shopping;Retail Sales Or Service;Store Or Shop Building;Commercial Property;Wake;10602.0;48;MULT TEN;APEX;27502;ALL;BRIAN HAMILTON PEAK PROPERTIES II L;http://services.wakegov.com/realestate/Account.asp?id=0007123;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=017374-01185;;6523.904296875;339.13924032212253;"{""type"": ""Polygon"", ""coordinates"": [[[-78.8510579231816, 35.730784180865626], [-78.85114328125522, 35.73063542853969], [-78.85148533367531, 35.73077436710688], [-78.8513830831982, 35.730912515290996], [-78.8510579231816, 35.730784180865626]]]}";35.7307757103,-78.8512672584
079417109890;0794109890;0007222;BOULEVARD REALTY LLC;;3900 WESTERN BLVD;RALEIGH NC 27606-1937;;3900 WESTERN BLVD;0.26512059999999904;0.26;3900;;;WESTERN;BLVD;;Commercial;C;1;0;LO1 TRD PH2 SE50 BL28 UNCOLLEG BM3;1;267294.0;226293.0;0.0;;0.0;;008393;00443;RAL;;RA;;Ra;1020.0;4520.0;2418.0;4140.0;6200.0;NX-3;;Corporation;Veterinary Medical Care;Veterinary Services;Veterinary Clinic Building;Commercial Property;Wake;4602.0;63;VET CLIN;RALEIGH;27606;ALL;BOULEVARD REALTY LLC;http://services.wakegov.com/realestate/Account.asp?id=0007222;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=008393-00443;;11548.636962890625;448.48366234254314;"{""type"": ""Polygon"", ""coordinates"": [[[-78.6898354640238, 35.78483669111995], [-78.68991431391657, 35.78482710501226], [-78.68998984394932, 35.78524385815942], [-78.68990298330701, 35.78525411165375], [-78.68981696556021, 35.785264367232195], [-78.68973558426781, 35.785273945928736], [-78.68972069586701, 35.785200417623706], [-78.68967126066042, 35.78492914953352], [-78.6897082244534, 35.78485181259731], [-78.68974733568533, 35.78484762900378], [-78.6898354640238, 35.78483669111995]]]}";35.7850535624,-78.6898266764
067703012888;0677012888;0007316;CRUMPTON, RONALD H;CRUMPTON, ELIZABETH W;4505 GREENBREEZE LN;FUQUAY VARINA NC 27526-6865;;1406 WILBUR JONES RD;0.9029606;0.9;1406;;;WILBUR JONES;RD;;Commercial;C;2;0;LO95-98 GR PT MILLS PROPERTY;95-98;31263.0;391648.0;0.0;;225000.0;2000-08-09T22:00:00-04:00;013102;02269;FUQ;;FV;;Mi;1010.0;2100.0;2100.0;2230.0;6200.0;CC;;Individual Ownership;Shopping;Retail Sales Or Service;Standalone Store Or Shop Building;Commercial Property;Wake;3826.0;47;SNGL TEN;FUQUAY VARINA;27526;WSE;RONALD H CRUMPTON &  ELIZABETH W CRUMPTON;http://services.wakegov.com/realestate/Account.asp?id=0007316;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=013102-02269;;39332.9638671875;946.2510906568511;"{""type"": ""Polygon"", ""coordinates"": [[[-78.76356719324959, 35.59553971095369], [-78.76360293961972, 35.59563041675011], [-78.76395729821074, 35.59653313045837], [-78.76384745356839, 35.59656640213111], [-78.76375865460584, 35.59659336067444], [-78.76365302079988, 35.5966252675301], [-78.76355832778752, 35.596653930722745], [-78.76348317703287, 35.59639605563712], [-78.76332765287637, 35.595862386166395], [-78.76349166413445, 35.59556058275449], [-78.76356719324959, 35.59553971095369]]]}";35.5961453403,-78.7636118689
077204506845;0772506845;0007333;KUIPERS, MICHAEL H & TAMMY S;;6010 FORDLAND DR;RALEIGH NC 27606-4475;;7021 HOLLY SPRINGS RD;3.63670148;3.64;7021;;;HOLLY SPRINGS;RD;;Commercial;C;1;1;L10 GR PT 11 J PAUL SHAW & STEPHENSON LD;;86607.0;259520.0;0.0;;275000.0;2007-05-30T22:00:00-04:00;012579;01858;;;CA;;Sw;1010.0;1100.0;1100.0;1110.0;6200.0;R40;;Individual Ownership;Household Activities;Private Household;Detached Units;Commercial Property;Wake;1705.0;01;SINGLFAM;RALEIGH;27606;WSE;MICHAEL H & TAMMY S KUIPERS;http://services.wakegov.com/realestate/Account.asp?id=0007333;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=012579-01858;;158414.7384033203;1879.779282571121;"{""type"": ""Polygon"", ""coordinates"": [[[-78.74389415299733, 35.730264950332355], [-78.74391263272848, 35.729693336983765], [-78.74446626610136, 35.72970420341486], [-78.74448552018072, 35.72971416330523], [-78.74450586568699, 35.72972156020908], [-78.74452796096769, 35.729726550541535], [-78.74454757156624, 35.729728628766814], [-78.74456911590283, 35.72972850361261], [-78.74458798825792, 35.72972631774559], [-78.7446062098742, 35.72972226379166], [-78.74461866635652, 35.72971829148353], [-78.7446300734954, 35.72971370675157], [-78.74505105748115, 35.73016187958053], [-78.74517770750927, 35.730074071842715], [-78.74607040503435, 35.73011590697706], [-78.74597577506664, 35.730638779235804], [-78.74388331335021, 35.73060022209269], [-78.74389415299733, 35.730264950332355]]]}";35.7302505049,-78.7448224011
075109059143;0751059143;0258735;LINK PROPERTIES LLC;APEX PINNACLE PARTNERS LLC;1205 KINGS GRANT DR;RALEIGH NC 27614-9355;;1000 GOODWORTH DR;1.163833069999999;1.159999999999999;1000;;;GOODWORTH;DR;;Commercial;C;1;0;LO67 PINNACLE PARK IV REV BM2002 -1450;67;732553.0;151593.0;0.0;;695100.0;2019-01-15T20:00:00-05:00;017339;02076;APE;;AP;;Wh;1020.0;3120.0;3600.0;2732.0;6200.0;LI-CU;;Corporation;Primarily Goods Storage Or Handling Activities;Warehouse And Storage Services;Prefabricated Warehouse;Commercial Property;Wake;11339.0;82;PREFAB;APEX;27539;ALL;LINK PROPERTIES LLC APEX PINNACLE PARTNERS LLC;http://services.wakegov.com/realestate/Account.asp?id=0258735;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=017339-02076;;50696.55236816406;920.2539912341695;"{""type"": ""Polygon"", ""coordinates"": [[[-78.82808363563333, 35.71521183014357], [-78.8281029468014, 35.714414174894486], [-78.82869281520236, 35.7144233278626], [-78.82867395008763, 35.71515396293446], [-78.82867226539827, 35.71516559626567], [-78.82866851953314, 35.715176138749854], [-78.82866438661208, 35.71518365210746], [-78.82865917704713, 35.715190708760865], [-78.8286529706348, 35.715197205165374], [-78.8286433013095, 35.71520483691963], [-78.82863371368195, 35.71521042179147], [-78.82862479835849, 35.715214289610174], [-78.8286137620426, 35.71521765148102], [-78.8286005960103, 35.71521992961712], [-78.82858883833558, 35.71522050886204], [-78.82808363563333, 35.71521183014357]]]}";35.7148166331,-78.8283872498
075109152144;0751152144;0258733;NJ AND TE LLC;;5179 HORSE TRACK DR N;JACKSONVILLE FL 32257-3653;;1020 GOODWORTH DR;0.95586643;0.9599999999999991;1020;;;GOODWORTH;DR;;Commercial;C;1;0;LO65 PINNACLE PARK IV REV BM2002 -1450;65;745309.0;125454.0;0.0;;1080000.0;2014-03-31T22:00:00-04:00;015619;02532;APE;;AP;;Wh;1020.0;3120.0;3600.0;2732.0;6200.0;LI-CU;;Corporation;Primarily Goods Storage Or Handling Activities;Warehouse And Storage Services;Prefabricated Warehouse;Commercial Property;Wake;10010.0;82;PREFAB;APEX;27539;ALL;NJ AND TE LLC;http://services.wakegov.com/realestate/Account.asp?id=0258733;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=015619-02532;;41637.543212890625;854.6605826029477;"{""type"": ""Polygon"", ""coordinates"": [[[-78.82717229777067, 35.71468083613668], [-78.8273451470948, 35.7144011548003], [-78.82762469148798, 35.714405958658844], [-78.82761480939334, 35.7150185664296], [-78.82756495843569, 35.71520291842048], [-78.8273931893124, 35.715199967275474], [-78.82736120207963, 35.715199146740474], [-78.82732756159328, 35.71519772083956], [-78.82730403942523, 35.715196370577765], [-78.82728557353408, 35.71519511401678], [-78.82725674963129, 35.71519319737772], [-78.82725006775004, 35.715192490239666], [-78.82724338923269, 35.715191760571905], [-78.82723671407925, 35.7151910083745], [-78.82723004450789, 35.715190230045096], [-78.82722337939805, 35.715189432793025], [-78.82721671766362, 35.71518860760309], [-78.82721006039262, 35.715187762589174], [-78.82720507051108, 35.715187113735006], [-78.82717694971551, 35.715184082187], [-78.82715369228679, 35.715180907010726], [-78.82712883893747, 35.715177193252195], [-78.82710406365196, 35.7151731542072], [-78.82708101479906, 35.71516909417428], [-78.82705804170341, 35.71516475392047], [-78.82703515209806, 35.71516013525964], [-78.82701071983155, 35.715154881644914], [-78.82697992867534, 35.715147768487356], [-78.82694610760112, 35.71513931970045], [-78.82701442455485, 35.71498472117464], [-78.82717229777067, 35.71468083613668]]]}";35.7148446095,-78.8273577698
065612978166;0656978166;0007548;IRON BEARD LLC;;404 RALEIGH ST;FUQUAY VARINA NC 27526-2233;;123 RALEIGH ST;0.13173124999999902;0.13;123;;;RALEIGH;ST;;Commercial;C;1;0;LO1 RALEIGH ST & IMP;1;29302.0;27013.0;0.0;;75000.0;2018-09-19T22:00:00-04:00;017245;02076;FUQ;;FV;;Mi;1020.0;2120.0;2110.0;2280.0;6200.0;DC-1;;Corporation;Service-Oriented Shopping;Automobile Sales Or Service Establishment;Automobile Repair And Service Structures;Commercial Property;Wake;4400.0;20;SER GARG;FUQUAY VARINA;27526;ALL;IRON BEARD LLC;http://services.wakegov.com/realestate/Account.asp?id=0007548;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=017245-02076;;5738.2181396484375;336.3525128403732;"{""type"": ""Polygon"", ""coordinates"": [[[-78.79860656160515, 35.58295306136957], [-78.7986034518704, 35.58284030480642], [-78.79876287634993, 35.582841253977776], [-78.79877405363766, 35.583159864503465], [-78.79877444665497, 35.58317134896801], [-78.79868588459289, 35.5831717205916], [-78.79861410181398, 35.58317284107708], [-78.79860656160515, 35.58295306136957]]]}";35.5830064707,-78.7986885006
079618301789;0796301789;0008089;CNL RETIREMENT SUN1 LP;;HCP INC-PROPERTY TAX DEPT;1920 MAIN ST STE 200;IRVINE CA 92614-7259;4801 EDWARDS MILL RD;3.294698019999999;3.299999999999999;4801;;;EDWARDS MILL;RD;;Commercial;C;1;72;R/W DEDICATN INNOVATIVE HEALTH GRP BL94-1 BUKIDD B BM1994 -01565;;4455823.0;1438917.0;413000.0;1994-08-02T22:00:00-04:00;5000000.0;2003-10-07T22:00:00-04:00;010487;00332;RAL;;RA;;Me;1020.0;1300.0;1250.0;1340.0;6200.0;OX-4;;Corporation;Institutional Living;Skilled-Nursing Services;Single Room Occupancy Units;Commercial Property;Wake;46672.0;76;REST  HM;RALEIGH;27612;ALL;CNL RETIREMENT SUN1 LP;http://services.wakegov.com/realestate/Account.asp?id=0008089;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=010487-00332;;143516.99255371094;1642.4737093394103;"{""type"": ""Polygon"", ""coordinates"": [[[-78.68540599099845, 35.83919514734648], [-78.68568513511367, 35.839039328801356], [-78.68646193874277, 35.84000816602787], [-78.6856979198792, 35.84041357106746], [-78.68437753812174, 35.83945464647623], [-78.68472545115242, 35.839450221615444], [-78.68509152223571, 35.83934725606905], [-78.68540599099845, 35.83919514734648]]]}";35.8397337714,-78.6855473031
077702661326;0777661326;0158826;MILLER, HARRY;MILLER, SAMANTHA;7713 UMSTEAD FOREST DR;RALEIGH NC 27612-7362;;3106 GLEN ROYAL RD;1.33590791;1.29;3106;;;GLEN ROYAL;RD;;Commercial;C;1;1;LO3 BROWNLEIGH INDUSTRIAL PK 2 86-1549;3;165130.0;169138.0;90500.0;1986-12-10T20:00:00-05:00;200000.0;1991-04-28T22:00:00-04:00;005448;00534;RAL;;RA;;Ho;1010.0;3120.0;3600.0;2732.0;6200.0;IX-3;;Individual Ownership;Primarily Goods Storage Or Handling Activities;Warehouse And Storage Services;Prefabricated Warehouse;Commercial Property;Wake;3200.0;82;PREFAB;RALEIGH;27617;E;HARRY MILLER &  SAMANTHA MILLER;http://services.wakegov.com/realestate/Account.asp?id=0158826;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=005448-00534;;58192.104248046875;987.1428743777028;"{""type"": ""Polygon"", ""coordinates"": [[[-78.74313841000003, 35.883289264583944], [-78.74254055232595, 35.88326135684407], [-78.7428356914803, 35.88248505318422], [-78.74323734225118, 35.88251254936281], [-78.74340551429894, 35.88252021920619], [-78.74337717212474, 35.882874943279305], [-78.74334698507361, 35.88329573609995], [-78.74313841000003, 35.883289264583944]]]}";35.8829137746,-78.7430256315
073304615075;0733615075;0258998;MOORE, LOUISE B;WELLINGHAM LLC;PO BOX 123;GREENVILLE NC 27835-0123;;1757 W WILLIAMS ST;1.20684604;1.22;1757;;W;WILLIAMS;ST;;Commercial;C;1;0;LO7 ATLANTIC REALTY LLC SUB BM1998 -02424;7;751610.0;636122.0;589500.0;2002-09-26T22:00:00-04:00;800000.0;2004-05-09T22:00:00-04:00;010814;01112;APE;;AP;;Wh;1010.0;2100.0;2100.0;2230.0;6200.0;PC-CU;;Individual Ownership;Shopping;Retail Sales Or Service;Standalone Store Or Shop Building;Commercial Property;Wake;6936.0;47;SNGL TEN;APEX;27523;ALL;MOORE, LOUISE B WELLINGHAM LLC;http://services.wakegov.com/realestate/Account.asp?id=0258998;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=010814-01112;;52570.200439453125;910.8331434175009;"{""type"": ""Polygon"", ""coordinates"": [[[-78.87630154949073, 35.75898576698739], [-78.87643825101604, 35.758276063291696], [-78.87698089123066, 35.75828240288594], [-78.87713948521976, 35.7582842548101], [-78.87704640572024, 35.758842969429544], [-78.8769260640278, 35.758913616518136], [-78.87655535014379, 35.75901491007449], [-78.87630154949073, 35.75898576698739]]]}";35.7586251728,-78.8767138966
078511659439;0785659439;0159214;OLDE RALEIGH VILLAGE INC;;1 N LASALLE ST STE 2100;CHICAGO IL 60602;;3101 EDWARDS MILL RD;8.95020397;8.9;3101;DUP;;EDWARDS MILL;RD;;Commercial;C;3;0;LOC OLDE RALEIGH VILLAGE BM1994 -01418;C;9216209.0;4535903.0;1915000.0;1986-12-16T20:00:00-05:00;0.0;;006299;00743;RAL;;RA;;Me;1020.0;2100.0;2100.0;2510.0;6200.0;CX-3;;Corporation;Shopping;Retail Sales Or Service;Neighborhood Center (Convenience With One Or More Anchors);Commercial Property;Wake;93456.0;55;NBHD S/C;RALEIGH;27612;ALL;OLDE RALEIGH VILLAGE INC;http://services.wakegov.com/realestate/Account.asp?id=0159214;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=006299-00743;;389870.9100341797;2658.3951468610912;"{""type"": ""Polygon"", ""coordinates"": [[[-78.70821090312731, 35.82592178716484], [-78.70821002508114, 35.82593140049129], [-78.70820746035052, 35.82594100978011], [-78.7082032125205, 35.82594992822348], [-78.70819600519859, 35.82596038536938], [-78.70818838846932, 35.825967749959986], [-78.70817739588306, 35.825975795087274], [-78.7081672571821, 35.825980921035196], [-78.70766320510943, 35.826255472665935], [-78.70762983149667, 35.826272389972864], [-78.70758506276553, 35.82629202720044], [-78.70757622335833, 35.82629530848178], [-78.70753861490026, 35.82630925922996], [-78.70747867148548, 35.82632731512336], [-78.70744237653042, 35.82633581412279], [-78.70739300770413, 35.826345138896976], [-78.70735503612343, 35.82635054227134], [-78.70731707359056, 35.826354056460325], [-78.7072786926247, 35.82635636815495], [-78.70722851274776, 35.82635676410668], [-78.70717707386741, 35.82635457919913], [-78.70712859886466, 35.826349655027414], [-78.70707633454774, 35.82634283253525], [-78.70702195786191, 35.82633772288541], [-78.706949445026, 35.82633342677977], [-78.70689505292829, 35.82633226668025], [-78.70684107690641, 35.826332651541655], [-78.70678667298024, 35.82633475329184], [-78.70671370249084, 35.82634007317509], [-78.70666055035817, 35.82634612572221], [-78.70660739039096, 35.82635372491578], [-78.70655464585795, 35.826363041225605], [-78.70650147561946, 35.82637407352812], [-78.70643267989952, 35.82639124952304], [-78.70639764483428, 35.82640112577959], [-78.7063876360905, 35.826404249128856], [-78.70635289520519, 35.82641509681745], [-78.70628703179106, 35.82643760397169], [-78.70623764842756, 35.82645087518301], [-78.70620768635507, 35.82645750258532], [-78.70615620735532, 35.826466649618105], [-78.70612540908617, 35.826470695367604], [-78.70608364902053, 35.82647454432665], [-78.70605243891129, 35.82647618701059], [-78.70601069008173, 35.826476944397434], [-78.70595798599405, 35.82647509933228], [-78.70592721192268, 35.82647279339206], [-78.70589559936, 35.82646945519666], [-78.70594139858558, 35.82628257861517], [-78.70594728800084, 35.82617081482491], [-78.70594902979661, 35.826155363857346], [-78.70594829170724, 35.8261270322564], [-78.705943323113, 35.826101263757614], [-78.70593330291675, 35.82607376693232], [-78.70592576480573, 35.82605915435064], [-78.70587812276199, 35.82594125040295], [-78.70587227309021, 35.825926469736515], [-78.7058656093018, 35.82590395906929], [-78.70586063934894, 35.8258788791808], [-78.70585818429022, 35.82585826876561], [-78.70585745339756, 35.82582736026519], [-78.70586054502834, 35.825788905106876], [-78.70586655946144, 35.8257587006001], [-78.70587594378985, 35.82572884673102], [-78.70589167737805, 35.825692654678136], [-78.70590780311791, 35.82566487842205], [-78.70592687568524, 35.825638137694874], [-78.70594296734576, 35.82561911600751], [-78.70609451096263, 35.825458596095984], [-78.70607781214464, 35.82541236697373], [-78.7058556754389, 35.825273265459124], [-78.706484297772, 35.824601355322606], [-78.70691394627951, 35.82414462491941], [-78.7070219283801, 35.824134754414274], [-78.70721072051226, 35.82428356135911], [-78.70749641193613, 35.824454576898454], [-78.70772257967614, 35.824557936410685], [-78.7078085806832, 35.824757384308064], [-78.70761877406504, 35.82508342121247], [-78.70763423664897, 35.82523821283926], [-78.70811802849987, 35.825424863179116], [-78.70810770448273, 35.825487158484485], [-78.70810478208034, 35.825523489662515], [-78.70810131361708, 35.82555871359577], [-78.70810413387004, 35.82559512251924], [-78.70811027492202, 35.8256457903834], [-78.70811731485381, 35.825681692044256], [-78.70813104164264, 35.82573357954785], [-78.70814814650403, 35.82578478832075], [-78.70816194323527, 35.82581761728404], [-78.70818537939205, 35.825867124167395], [-78.7082009001528, 35.825889311599646], [-78.70820676388159, 35.82590031469739], [-78.70821009448629, 35.82591217070216], [-78.70821090312731, 35.82592178716484]]]}";35.8254508833,-78.7069583623
073302871306;0733871306;0259556;SCOTT-HERNDON ENTERPRISES LLC;;123 BRIGHT BEGINNING WAY;CARY NC 27519-6365;;123 BRIGHT BEGINNING WAY;3.103931869999999;3.1;123;;;BRIGHT BEGINNING;WAY;;Commercial;C;2;0;TR3 RCMB BERTHA H HERNDON PROP BM2008 -00829;;1502732.0;321393.0;0.0;;0.0;;016884;01794;CAR;;CA;;Wh;1020.0;4140.0;6562.0;4200.0;6200.0;OICU;;Corporation;Child Day Care Activities;Child Day Care;School Or University Buildings;Commercial Property;Wake;9533.0;16;DAY CARE;CARY;27519;ALL;SCOTT-HERNDON ENTERPRISES LLC;http://services.wakegov.com/realestate/Account.asp?id=0259556;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=016884-01794;;135207.20642089844;2063.751265450159;"{""type"": ""Polygon"", ""coordinates"": [[[-78.870931427405, 35.77632420971212], [-78.87099677849257, 35.776004614923984], [-78.87104170113047, 35.77578493064162], [-78.87108657225625, 35.775565490537446], [-78.87113130044301, 35.775346753299864], [-78.87117574859884, 35.775129377667994], [-78.8712254201459, 35.77488646338252], [-78.87127508530683, 35.774641119022306], [-78.87129636147769, 35.77453952014595], [-78.87133292029696, 35.775528774176195], [-78.87207100788189, 35.77550297354107], [-78.8721567204386, 35.775499952077475], [-78.87219590905798, 35.77645651919103], [-78.87188343264096, 35.77646752988995], [-78.87089499877435, 35.77650235629998], [-78.870931427405, 35.77632420971212]]]}";35.7759375657,-78.8715509827
078607597264;0786597264;0259512;D & R MILLBROOK PROPERTIES LLC;;4309 EMPEROR BLVD STE 110;DURHAM NC 27703-8046;;3501 W MILLBROOK RD;0.6206560599999991;0.62;3501;;W;MILLBROOK;RD;;Commercial;C;1;0;TR3 NEWCASTLE GROUP II E. LLC BM1998 -02338;;544811.0;405105.0;0.0;;0.0;;009298;01596;RAL;;RA;;Ho;1020.0;2100.0;2100.0;2200.0;6200.0;CX-3;;Corporation;Shopping;Retail Sales Or Service;Store Or Shop Building;Commercial Property;Wake;6382.0;48;MULT TEN;RALEIGH;27613;ALL;D & R MILLBROOK PROPERTIES LLC;http://services.wakegov.com/realestate/Account.asp?id=0259512;http://services.wakegov.com/booksweb/GenExtSearch.aspx?BookPage=009298-01596;;27035.757690429688;722.4627671154735;"{""type"": ""Polygon"", ""coordinates"": [[[-78.71011239902448, 35.86315537869877], [-78.71028366662838, 35.86299264729877], [-78.71041967025216, 35.863087376594386], [-78.71044582653707, 35.86306222511734], [-78.71051692141488, 35.863025264837276], [-78.71059642601602, 35.86308071539148], [-78.71102472910319, 35.86337942777203], [-78.71101883744863, 35.863384344943604], [-78.71101411861007, 35.8633882725386], [-78.71101057257822, 35.863391213261096], [-78.711007025442, 35.86339415307953], [-78.71100347167815, 35.86339708837554], [-78.71099991570594, 35.86340002186357], [-78.71099635642133, 35.86340295263973], [-78.71099279272356, 35.86340587889867], [-78.71098922460939, 35.86340880154173], [-78.71098565207231, 35.86341172237156], [-78.71098207733341, 35.86341463959081], [-78.71097849817485, 35.863417554095484], [-78.71097371860067, 35.8634214346762], [-78.71096893572351, 35.86342530984098], [-78.71096534332203, 35.86342821169537], [-78.71096174759204, 35.8634311153444], [-78.71095694372737, 35.86343497603779], [-78.71095213655981, 35.863438831315214], [-78.71094732054983, 35.863442682064864], [-78.71094249902565, 35.86344652649205], [-78.71093887791078, 35.863449406645834], [-78.71093525458761, 35.86345228499166], [-78.71093041650174, 35.86345611585925], [-78.71092678213759, 35.86345898516542], [-78.71092314667558, 35.86346185176493], [-78.71091829313201, 35.863465669976875], [-78.71091464551854, 35.86346852843545], [-78.71091099569676, 35.863471385085994], [-78.710907342569, 35.863474237221965], [-78.71090368723297, 35.863477087549974], [-78.71089880387532, 35.86348088225607], [-78.71089391611072, 35.86348467064228], [-78.71089024753174, 35.86348750831997], [-78.71088657231533, 35.86349034417917], [-78.71088166798904, 35.8634941190058], [-78.71087798616716, 35.863496944033216], [-78.71087429880225, 35.86349977085002], [-78.71086938012876, 35.86350353212229], [-78.71086568394065, 35.86350634900335], [-78.71086198444019, 35.86350916317249], [-78.71085704810737, 35.86351290817862], [-78.71085210513702, 35.86351665136611], [-78.7108483912863, 35.863519452882336], [-78.71084467744502, 35.86352225169442], [-78.7108397168121, 35.8635259795171], [-78.71083475067145, 35.86352969921456], [-78.7108297778997, 35.86353341529081], [-78.71082604418764, 35.8635361969302], [-78.71082230494878, 35.86353897585232], [-78.71081731672578, 35.863542677470285], [-78.71081232188453, 35.86354637186177], [-78.71080732041212, 35.863550062631994], [-78.71080356573155, 35.86355282439185], [-78.71079980662161, 35.863555586141025], [-78.71079604310177, 35.86355834247175], [-78.71079227626954, 35.86356109609049], [-78.71078724941535, 35.863564762464044], [-78.7107834237911, 35.863567545686706], [-78.71077671435172, 35.863571699289906], [-78.71077241809306, 35.863573875707814], [-78.71076791472672, 35.86357575600079], [-78.71076326610147, 35.86357738448025], [-78.71075846913101, 35.86357869534239], [-78.71075191604325, 35.86358000113789], [-78.7107452375461, 35.86358076854649], [-78.71073849789643, 35.863580987805925], [-78.71073344272679, 35.8635808090709], [-78.71072842310512, 35.863580288819065], [-78.7107218256316, 35.86357914651746], [-78.71071540169432, 35.86357747104456], [-78.71070921654452, 35.863575284186986], [-78.71070332879954, 35.86357260501149], [-78.71069740492098, 35.863569193876614], [-78.7103691447857, 35.86333785747664], [-78.71011239902448, 35.86315537869877]]]}";35.8632817066,-78.7105744972
